bf_bugid,bf_project,bf_product,bf_de_manager,bf_severity,submit_age,Pin
CSCvb78220,CSC.sibu.dev,sunbird,tslo,moderate,141,sw
CSCvb93401,CSC.labtrunk,cgr2010,ningzhao,enhancement,139,cgr2010
CSCvc07913,CSC.labtrunk,ie1000,teresang,moderate,138,iot
CSCvc13988,CSC.labtrunk,warbler,tslo,moderate,137,warbler
CSCvc29712,CSC.labtrunk,ie1000,teresang,moderate,135,iot
CSCvc32544,CSC.labtrunk,cgr1000,tslo,moderate,135,cgr1k
CSCvc42601,CSC.labtrunk,volt,teresang,minor,134,iotgsw
CSCvc57517,CSC.labtrunk,gemboa,ningzhao,moderate,132,gemboa
CSCvc61862,CSC.labtrunk,ie3000,teresang,enhancement,131,iotgsw
CSCvc71493,CSC.labtrunk,ir809,tslo,enhancement,129,ir800
CSCvc83184,CSC.labtrunk,volt,teresang,moderate,128,iotgsw
CSCvc85339,CSC.labtrunk,cgr1000,tslo,moderate,128,cgr1k
CSCvc98072,CSC.labtrunk,ie1000,teresang,moderate,126,iot
CSCvd13122,CSC.labtrunk,cgr1000,ningzhao,moderate,124,cgr1k
CSCvd27355,CSC.labtrunk,warbler,tslo,enhancement,123,warbler
CSCvd37513,CSC.labtrunk,warbler,tslo,cosmetic,122,warbler
CSCvd51489,CSC.sibu.prods,ce300,tslo,issue_not_a_bug_or_enhancement,121,sw
CSCvd87462,CSC.labtrunk,ce300,tslo,moderate,117,ce300
CSCvd92023,CSC.labtrunk,warbler,tslo,moderate,117,warbler
CSCvd98373,CSC.labtrunk,warbler,tslo,enhancement,116,warbler
CSCve01930,CSC.labtrunk,ir829,ningzhao,moderate,116,ir800
CSCve17642,CSC.labtrunk,warbler,tslo,enhancement,114,warbler
CSCve19742,CSC.labtrunk,warbler,tslo,enhancement,114,warbler
CSCve21661,CSC.labtrunk,warbler,tslo,enhancement,114,warbler
CSCve23607,CSC.labtrunk,warbler,tslo,enhancement,114,warbler
CSCve23641,CSC.labtrunk,cgr1000,tslo,enhancement,114,cgr1k
CSCve24412,CSC.labtrunk,volt,teresang,moderate,114,ie
CSCve25057,CSC.labtrunk,ie2000u,teresang,minor,113,ie
CSCve37777,CSC.labtrunk,cgr1000,ningzhao,moderate,112,cgr1k
CSCve37815,CSC.labtrunk,all,teresang,moderate,112,ie
CSCve54035,CSC.labtrunk,warbler,tslo,enhancement,110,warbler
CSCve69431,CSC.labtrunk,volt,teresang,minor,109,iotgsw
CSCve84485,CSC.labtrunk,warbler,tslo,enhancement,107,warbler
CSCve97208,CSC.labtrunk,warbler,tslo,moderate,106,warbler
CSCvf04393,CSC.labtrunk,warbler,tslo,enhancement,105,warbler
CSCvf38335,CSC.labtrunk,cgr1000,tslo,moderate,101,cgr1k
CSCvf43065,CSC.labtrunk,ir829,ningzhao,moderate,101,gemboa
CSCvf71609,CSC.sys,cgr1000,ningzhao,minor,97,cgr1k
CSCvf77683,CSC.labtrunk,all,ningzhao,moderate,96,sparrow
CSCvf88029,CSC.labtrunk,all,ningzhao,moderate,95,sparrow
CSCvf98753,CSC.labtrunk,all,ningzhao,moderate,94,sparrow
CSCvg03910,CSC.labtrunk,all,ningzhao,moderate,93,sparrow
CSCvg10791,CSC.labtrunk,ir829,ningzhao,minor,92,gemboa
CSCvg16292,CSC.labtrunk,ir829,bhatrive,enhancement,92,gemboa
CSCvg16550,CSC.labtrunk,ir1100,ningzhao,moderate,92,sparrow
CSCvg31722,CSC.labtrunk,warbler,tslo,minor,90,warbler
CSCvg37647,CSC.labtrunk,ir800,ningzhao,moderate,89,ir800
CSCvg39989,CSC.labtrunk,warbler,tslo,moderate,89,warbler
CSCvg39994,CSC.labtrunk,warbler,tslo,enhancement,89,warbler
CSCvg40068,CSC.labtrunk,warbler,tslo,minor,89,warbler
CSCvg40803,CSC.labtrunk,hellcat,teresang,moderate,89,bootloader
CSCvg67608,CSC.labtrunk,warbler,tslo,severe,86,warbler
CSCvg73207,CSC.labtrunk,ir1100,ningzhao,catastrophic,86,sparrow
CSCvg76197,CSC.labtrunk,hellcat,teresang,moderate,85,bootloader
CSCvg87497,CSC.labtrunk,warbler,tslo,moderate,84,warbler
CSCvg91664,CSC.labtrunk,warbler,tslo,moderate,83,warbler
CSCvg91710,CSC.labtrunk,warbler,tslo,enhancement,83,warbler
CSCvh02488,CSC.labtrunk,ir1100,ningzhao,minor,82,sparrow
CSCvh20239,CSC.labtrunk,ir1100,ningzhao,moderate,80,sparrow
CSCvh48301,CSC.labtrunk,all,teresang,enhancement,78,config
CSCvh48769,CSC.labtrunk,petra,teresang,enhancement,77,petra
CSCvh58464,CSC.labtrunk,warbler,tslo,moderate,76,warbler
CSCvh79956,CSC.labtrunk,cgr1000,ningzhao,moderate,74,cgr1k
CSCvh89337,CSC.labtrunk,cgr1000,tslo,severe,73,warbler
CSCvh89405,CSC.labtrunk,warbler,tslo,cosmetic,73,warbler
CSCvi07303,CSC.labtrunk,cgr1000,tslo,enhancement,71,cgr1k
CSCvi24211,CSC.sys,all,teresang,moderate,70,iotgsw
CSCvi24602,CSC.labtrunk,5900,tslo,enhancement,70,platform
CSCvi34285,CSC.labtrunk,ir829,bhatrive,severe,69,gemboa
CSCvi46929,CSC.netbu,pix-asa,teresang,moderate,68,iot
CSCvi71074,CSC.labtrunk,ir1100,ningzhao,severe,66,sparrow
CSCvi74624,CSC.labtrunk,petra,teresang,enhancement,66,cip
CSCvi98495,CSC.netbu,pix-asa,teresang,severe,64,iot
CSCvj09697,CSC.labtrunk,warbler,tslo,issue_not_a_bug_or_enhancement,63,warbler
CSCvj23612,CSC.labtrunk,petra,teresang,enhancement,62,cip
CSCvj26785,CSC.labtrunk,cgr2010,ningzhao,enhancement,61,cgr2010
CSCvj51202,CSC.labtrunk,petra,teresang,moderate,59,cip
CSCvj71696,CSC.labtrunk,ir1100,ningzhao,moderate,57,sparrow
CSCvk04609,CSC.labtrunk,callisto,tslo,moderate,54,callisto
CSCvk07603,CSC.labtrunk,callisto,tslo,enhancement,54,callisto
CSCvk13476,CSC.labtrunk,petra,teresang,moderate,53,petra
CSCvk30936,CSC.labtrunk,ir1100,ningzhao,severe,51,sparrow
CSCvk41081,CSC.labtrunk,ir800,ningzhao,severe,50,vds
CSCvk44727,CSC.labtrunk,petra,teresang,cosmetic,50,ptp
CSCvk66922,CSC.labtrunk,petra,teresang,moderate,48,ptp
CSCvm03119,CSC.labtrunk,callisto,tslo,enhancement,46,callisto
CSCvm14305,CSC.labtrunk,callisto,tslo,minor,45,callisto
CSCvm48679,CSC.labtrunk,warbler,tslo,severe,42,warbler
CSCvm60517,CSC.labtrunk,ir1100,ningzhao,moderate,41,sparrow
CSCvm73295,CSC.labtrunk,petra,teresang,moderate,39,petra
CSCvm82669,CSC.labtrunk,ir1100,ningzhao,minor,38,sparrow
CSCvm87053,CSC.labtrunk,ir800,bhatrive,moderate,38,gemboa
CSCvm93934,CSC.labtrunk,warbler,tslo,severe,37,warbler
CSCvm94243,CSC.labtrunk,cgr1000,prapuroh,severe,37,cgr1k
CSCvn14555,CSC.labtrunk,ir1100,ningzhao,moderate,35,sparrow
CSCvn24541,CSC.sys,all,prapuroh,enhancement,34,ir800
CSCvn25207,CSC.labtrunk,callisto,tslo,minor,33,callisto
CSCvn64191,CSC.netbu,pix-asa,teresang,moderate,29,iot
CSCvo24750,CSC.sys,ir800,sidharma,severe,21,gemboa
CSCvo40267,CSC.labtrunk,petra,teresang,moderate,20,cip
CSCvo63770,CSC.labtrunk,ie3000,rasrao,moderate,18,iotgsw
CSCvo67324,CSC.labtrunk,warbler,tslo,severe,17,warbler
CSCvo87048,CSC.labtrunk,esr6300,ningzhao,moderate,15,blackheart
CSCvo94791,CSC.labtrunk,esr6300,ningzhao,severe,15,blackheart
